iter	Passed	Remaining
422	1917	2615
423	1921	2610
424	1924	2604
425	1929	2599
426	1932	2593
427	1937	2588
428	1940	2582
429	1944	2577
430	1948	2572
431	1952	2567
432	1955	2561
433	1959	2555
434	1963	2550
435	1967	2544
436	1970	2539
437	1974	2533
438	1978	2528
439	1981	2522
440	1985	2516
441	1988	2510
442	1991	2504
443	1996	2499
444	2000	2494
445	2004	2489
446	2007	2483
447	2011	2478
448	2015	2473
449	2019	2467
450	2022	2462
451	2026	2457
452	2030	2452
453	2035	2447
454	2039	2442
455	2044	2438
456	2047	2433
457	2051	2427
458	2055	2422
459	2059	2417
460	2063	2412
461	2066	2406
462	2070	2401
463	2074	2396
464	2078	2390
465	2081	2385
466	2085	2380
467	2089	2375
468	2094	2371
469	2099	2367
470	2103	2362
471	2108	2359
472	2112	2354
473	2116	2348
474	2120	2344
475	2124	2338
476	2128	2333
477	2132	2328
478	2136	2323
479	2141	2319
480	2144	2314
481	2148	2309
482	2152	2303
483	2156	2299
484	2161	2294
485	2165	2290
486	2169	2284
487	2173	2280
488	2177	2275
489	2182	2271
490	2185	2265
491	2190	2261
492	2194	2256
493	2198	2251
494	2202	2247
495	2206	2242
496	2210	2237
497	2214	2232
498	2218	2227
499	2223	2223
500	2227	2218
501	2231	2213
502	2236	2210
503	2240	2204
504	2245	2200
505	2249	2195
506	2254	2192
507	2259	2188
508	2265	2185
509	2271	2182
510	2275	2177
511	2280	2173
512	2285	2170
513	2290	2165
514	2295	2162
515	2301	2158
516	2305	2154
517	2310	2149
518	2314	2145
519	2319	2141
520	2323	2136
521	2328	2131
522	2333	2127
523	2337	2122
524	2343	2119
525	2348	2116
526	2354	2112
527	2358	2108
528	2363	2104
529	2369	2100
530	2374	2096
531	2378	2092
532	2383	2088
533	2388	2083
534	2391	2078
535	2396	2074
536	2401	2070
537	2405	2065
538	2410	2061
539	2415	2057
540	2418	2052
541	2423	2047
542	2428	2043
543	2432	2038
544	2436	2034
545	2440	2029
546	2446	2025
547	2451	2022
548	2455	2017
549	2460	2013
550	2464	2008
551	2469	2003
552	2473	1999
553	2478	1995
554	2483	1991
555	2487	1986
556	2495	1985
557	2501	1981
558	2505	1976
559	2509	1971
560	2513	1966
561	2517	1961
562	2521	1956
563	2525	1952
564	2528	1946
565	2532	1941
566	2536	1937
567	2541	1933
568	2545	1928
569	2549	1923
570	2554	1919
571	2558	1914
572	2562	1909
573	2566	1904
574	2569	1899
575	2573	1894
576	2577	1889
577	2581	1884
578	2584	1879
579	2588	1874
580	2591	1868
581	2595	1864
582	2599	1859
583	2603	1854
584	2607	1849
585	2610	1844
586	2616	1840
587	2620	1835
588	2624	1831
589	2627	1826
590	2631	1821
591	2635	1816
592	2639	1811
593	2643	1806
594	2647	1801
595	2650	1796
596	2655	1792
597	2659	1787
598	2663	1782
599	2666	1777
600	2670	1773
601	2674	1768
602	2677	1763
603	2681	1758
604	2685	1753
605	2689	1748
606	2692	1743
607	2696	1738
608	2700	1733
609	2704	1729
610	2708	1724
611	2711	1719
612	2714	1713
613	2719	1709
614	2722	1704
615	2726	1699
616	2729	1694
617	2733	1689
618	2737	1684
619	2740	1679
620	2743	1674
621	2746	1669
622	2751	1664
623	2754	1659
624	2757	1654
625	2761	1649
626	2765	1645
627	2768	1639
628	2772	1635
629	2775	1630
630	2778	1625
631	2782	1620
632	2786	1615
633	2789	1610
634	2792	1605
635	2796	1600
636	2800	1595
637	2803	1590
638	2807	1586
639	2810	1581
640	2814	1576
641	2817	1571
642	2820	1566
643	2824	1561
644	2828	1556
645	2831	1551
646	2835	1546
647	2838	1541
648	2846	1539
649	2850	1534
650	2853	1529
651	2857	1525
652	2860	1520
653	2864	1515
654	2867	1510
655	2870	1505
656	2874	1500
657	2878	1496
658	2882	1491
659	2885	1486
660	2889	1481
661	2892	1476
662	2896	1472
663	2899	1467
664	2902	1462
665	2906	1457
666	2910	1452
667	2914	1448
668	2917	1443
669	2921	1438
670	2924	1434
671	2928	1429
672	2931	1424
673	2935	1419
674	2938	1414
675	2941	1410
676	2945	1405
677	2948	1400
678	2952	1395
679	2955	1390
680	2959	1386
681	2962	1381
682	2965	1376
683	2969	1371
684	2972	1367
685	2976	1362
686	2979	1357
687	2983	1352
688	2986	1348
689	2989	1343
690	2993	1338
691	2997	1334
692	3000	1329
693	3003	1324
694	3007	1319
695	3010	1315
696	3014	1310
697	3017	1305
698	3021	1300
699	3024	1296
700	3028	1291
701	3031	1286
702	3034	1282
703	3038	1277
704	3041	1272
705	3045	1268
706	3048	1263
707	3051	1258
708	3055	1253
709	3058	1249
710	3062	1244
711	3065	1239
712	3068	1235
713	3071	1230
714	3076	1226
715	3080	1221
716	3084	1217
717	3088	1212
718	3091	1208
719	3095	1203
720	3098	1199
721	3102	1194
722	3106	1190
723	3110	1185
724	3113	1181
725	3116	1176
726	3120	1171
727	3124	1167
728	3127	1162
729	3130	1157
730	3134	1153
731	3138	1148
732	3141	1144
733	3144	1139
734	3147	1134
735	3151	1130
736	3154	1125
737	3158	1121
738	3161	1116
739	3165	1112
740	3168	1107
741	3171	1102
742	3175	1098
743	3178	1093
744	3182	1089
745	3185	1084
746	3189	1080
747	3192	1075
748	3196	1071
749	3199	1066
750	3203	1062
751	3206	1057
752	3209	1052
753	3213	1048
754	3217	1044
755	3220	1039
756	3224	1035
757	3227	1030
758	3231	1025
759	3234	1021
760	3238	1017
761	3241	1012
762	3245	1008
763	3248	1003
764	3252	999
765	3256	994
766	3259	990
767	3263	985
768	3266	981
769	3270	976
770	3274	972
771	3278	968
772	3281	963
773	3285	959
774	3288	954
775	3292	950
776	3296	946
777	3299	941
778	3303	937
779	3307	932
780	3310	928
781	3313	923
782	3317	919
783	3321	915
784	3324	910
785	3327	906
786	3331	901
787	3334	897
788	3338	892
789	3341	888
790	3345	883
791	3348	879
792	3352	875
793	3355	870
794	3359	866
795	3362	861
796	3366	857
797	3369	852
798	3373	848
799	3376	844
800	3380	839
801	3384	835
802	3387	831
803	3390	826
804	3394	822
805	3398	817
806	3401	813
807	3405	809
808	3408	804
809	3412	800
810	3415	796
811	3419	791
812	3423	787
813	3426	783
814	3430	778
815	3433	774
