iter	MultiClass
0	0.9735670358
1	0.8721404488
2	0.7907468433
3	0.7198984282
4	0.6617677987
5	0.6086297197
6	0.5615086829
7	0.5209382019
8	0.4859025877
9	0.4523217211
10	0.4224621325
11	0.3978759086
12	0.3743040383
13	0.3534626891
14	0.3337811656
15	0.3173535831
16	0.3010580215
17	0.2857125322
18	0.2711606657
19	0.2584428392
20	0.2467755094
21	0.2354141099
22	0.2257447765
23	0.2163774315
24	0.2084883739
25	0.2005081034
26	0.1930540629
27	0.1858861058
28	0.1796932543
29	0.1735031672
30	0.1674677518
31	0.162019181
32	0.1561420996
33	0.1521087417
34	0.1471105905
35	0.1434289419
36	0.1396732443
37	0.1362662048
38	0.132550749
39	0.1296482556
40	0.1261646188
41	0.1236412713
42	0.1205213752
43	0.1174939488
44	0.1145904135
45	0.1119233828
46	0.1091101409
47	0.1064950494
48	0.1040617719
49	0.1023364667
50	0.1003012941
51	0.09884885227
52	0.09712196149
53	0.09532014985
54	0.0935680213
55	0.09223715508
56	0.09085943934
57	0.08936187757
58	0.08747103417
59	0.08610869069
60	0.0844751948
61	0.08286976751
62	0.08192483199
63	0.08107991484
64	0.0800841001
65	0.07906579989
66	0.07810777339
67	0.07679518578
68	0.07593865031
69	0.07498497254
70	0.07394122925
71	0.07317152715
72	0.07244430865
73	0.07156822164
74	0.07061851234
75	0.06961151303
76	0.06876443136
77	0.06793093021
78	0.06724799587
79	0.06647368821
80	0.06556976352
81	0.06497371316
82	0.06431587566
83	0.06349359861
84	0.06270133063
85	0.06186438901
86	0.06128664106
87	0.06065135718
88	0.06008725241
89	0.05942449687
90	0.05875990325
91	0.05789301951
92	0.05714461535
93	0.05691897952
94	0.05632020091
95	0.05581327501
96	0.05525334224
97	0.05469255309
98	0.05422163821
99	0.05389654428
100	0.05350211486
101	0.05336752879
102	0.05285092226
103	0.052506512
104	0.05203807978
105	0.05154867517
106	0.05106668667
107	0.05076661842
108	0.05020669305
109	0.04973082113
110	0.04937287383
111	0.04882844633
112	0.04863778969
113	0.04820192257
114	0.04781619341
115	0.04737449995
116	0.04704828615
117	0.04672522989
118	0.04632606678
119	0.04599366907
120	0.04561589392
121	0.04536897864
122	0.04509779199
123	0.04489928947
124	0.04440344781
125	0.04417151046
126	0.04390731718
127	0.04363937947
128	0.04334187509
129	0.04305877987
130	0.04280774827
131	0.04256937716
132	0.04242863208
133	0.04194921571
134	0.04151885842
135	0.0412501659
136	0.04097909875
137	0.0406674875
138	0.04027985602
139	0.04014925688
140	0.03996897263
141	0.03977976923
142	0.03944216874
143	0.03921349504
144	0.0389929646
145	0.03873600476
146	0.03852124159
147	0.03831272615
148	0.03815159364
149	0.03785571323
150	0.03757705601
151	0.03731112414
152	0.03717028305
153	0.03695580563
154	0.03680951062
155	0.03656966697
156	0.03633004935
157	0.03608037893
158	0.03582507266
159	0.03568747359
160	0.03555609923
161	0.03526287493
162	0.0349664368
163	0.03466350224
164	0.03446808128
165	0.03431719262
166	0.03419744165
167	0.03405657569
168	0.03395467279
169	0.03377007179
170	0.03366413577
171	0.03353906937
172	0.03334620402
173	0.0331663574
174	0.03294072866
175	0.03277958061
176	0.03254773472
177	0.03222945649
178	0.03210429851
179	0.03196013562
180	0.03178842991
181	0.03163084306
182	0.03133932896
183	0.0311318253
184	0.03105122874
185	0.03090219569
186	0.03078199156
187	0.03062961312
